original_variable,continuity_variable,category_1,category_2,coverage
other_borrowing_and_credit_arrangements_not_supported,Other borrowing and credit arrangements not supported by central government ,Borrowing,Component,Financing
other_borrowing_and_credit_arrangements_not_supported_by_central_government,Other borrowing and credit arrangements not supported by central government ,Borrowing,Component,Financing
other_long_term_liabilities_as_at_1_april,Other long-term liabilities,Year open,,Prudential
other_long_term_liabilities_as_at_1_april_2004,Other long-term liabilities,Year open,,Prudential
other_long_term_liabilities_as_at_31_march,Other long-term liabilities,Year end,,Prudential
other_long_term_liabilities_as_at_31_march_2005,Other long-term liabilities,Year end,,Prudential
prucrdt_chng,Other long-term liabilities,In-year change,,Prudential
prucrdt_end,Other long-term liabilities,Year end,,Prudential
prucrdt_strt,Other long-term liabilities,Year open,,Prudential
m7_other_section_106_amounts,Other s106 amounts,memo,memo,Financing
m3_other,Other uses of capitalisation,Use of capitalisation,memo,Other spending
m4_other,Other uses of capitalisation,Use of capitalisation,memo,Other spending
m5_other,Other uses of capitalisation,Use of capitalisation,memo,Other spending
payment_of_lsvt_levy,Payment of LSVT levy,,,Other spending
m2_pension_scheme_contributions,Pension scheme contributions,Use of capitalisation,memo,Other spending
m2_s16_2_b_direction_expenditure_pension_scheme_contributions,Pension scheme contributions,Use of capitalisation,memo,Other spending
m2_section_16_2_b_pension_scheme_contributions,Pension scheme contributions,Use of capitalisation,memo,Other spending
m10_grants_loans_financial_assistance_repayments_grants,Receiving repayments of grants,component,memo,Receipts
m11_grants_loans_financial_assistance_repayments_grants,Receiving repayments of grants,component,memo,Receipts
m9_grants,Receiving repayments of grants,component,memo,Receipts
m9_repayments_grants,Receiving repayments of grants,component,memo,Receipts
m11_total_m9_m10,"Receiving repayments of grants, loans, and financial assistance",Aggregate,memo,Receipts
m11_total_repayments_m9_to_m10,"Receiving repayments of grants, loans, and financial assistance",Aggregate,memo,Receipts
m12_grants_loans_financial_assistance_total_m11_m12,"Receiving repayments of grants, loans, and financial assistance",Aggregate,memo,Receipts
m13_grants_loans_financial_assistance_total_m11_m12,"Receiving repayments of grants, loans, and financial assistance",Aggregate,memo,Receipts
m10_loans_and_financial_assistance,Receiving repayments of loans and financial assistance,component,memo,Receipts
m11_grants_loans_financial_assistance_repayments_loans_and_financial_assistance,Receiving repayments of loans and financial assistance,component,memo,Receipts
m10_repayments_loans_financial_assistance,"Receiving repayments of loans, and financial assistance",component,memo,Receipts
m12_grants_loans_financial_assistance_repayments_loans_and_financial_assistance,"Receiving repayments of loans, and financial assistance",component,memo,Receipts
m1_redundancy_costs,Redundancy costs,Use of capitalisation,memo,Other spending
m1_s16_2_b_direction_expenditure_redundancy_costs,Redundancy costs,Use of capitalisation,memo,Other spending
m1_section_16_2_b_redundancy_costs,Redundancy costs,Use of capitalisation,memo,Other spending
m6_section_106_payments_for_affordable_housing_commuted_sums,s106 payments for affordable housing (commuted sums),memo,memo,Financing
m5_land_building_works,Sales of land and buildings,component,memo,Receipts
m5_sales_of_tangible_fixed_assets_land_bldgs_works,Sales of land and buildings,component,memo,Receipts
m6_sales_of_tangible_fixed_assets_land_buildings_works,Sales of land and buildings,component,memo,Receipts
m7_sales_of_tangible_fixed_assets_land_buildings_works,Sales of land and buildings,component,memo,Receipts
m7_plant_machinery_equipment,"Sales of plant, machinery, and equipment",component,memo,Receipts
m8_sales_of_tangible_fixed_assets_plant_machinery_equipment,"Sales of plant, machinery, and equipment",component,memo,Receipts
m9_sales_of_tangible_fixed_assets_plant_machinery_equipment,"Sales of plant, machinery, and equipment",component,memo,Receipts
m7_sales_of_tangible_fixed_assets_plant_mach_equip,"Sales of plant, machinery, and equipment",component,memo,Receipts
m6_sales_of_tangible_fixed_assets_vehicles,Sales of vehicles,component,memo,Receipts
m6_vehicles,Sales of vehicles,component,memo,Receipts
m7_sales_of_tangible_fixed_assets_vehicles,Sales of vehicles,component,memo,Receipts
m8_sales_of_tangible_fixed_assets_vehicles,Sales of vehicles,component,memo,Receipts
settlement_payments_determination_expenditure,Settlement payments determination - expenditure,,,HRA Self-financing Determination
settlement_payments_determination_premiums,Settlement payments determination - premiums,,,HRA Self-financing Determination
settlement_payments_determination_receipts,Settlement payments determination - receipts,,,HRA Self-financing Determination
x2003_04_expenditure_accrued_in_2003_04_but_paid_for_in_04_05,Spending accrued in the previous year but paid for this year,,,Other spending
expenditure_treated_as_capital_expenditure_by_virtue_of_a_section_16_2_b_direction,Spending under capitalisation,,,Other spending
expenditure_treated_as_capital_expenditure_by_virtue_of_a_section_40_6_direction,Spending under s40.6 direction,,,Other spending
sce_r_single_capital_pot,Supported Capital Expenditure (SCE(R)),Grants,Component,Financing
total_sce_r_single_capital_pot_for_04_05,Supported Capital Expenditure (SCE(R)),Grants,Component,Financing
sce_r_separate_programme_element,Supported Capital Expenditure (SCE(R)) (separate programme element),Grants,Component,Financing
sce_r_seperate_programme_element,Supported Capital Expenditure (SCE(R)) (separate programme element),Grants,Component,Financing
total_sce_r_separate_programme_element_04_05,Supported Capital Expenditure (SCE(R)) (separate programme element),Grants,Component,Financing
total_capital_expenditure_and_other_transactions_on_an_accruals_basis_and_requiring_resource_cover,Total capital expenditure & other transactions,Aggregate,Aggregate,Other spending
total_expenditure_and_other_transactions,Total capital expenditure & other transactions,Aggregate,Aggregate,Other spending
total_expenditure_and_other_transactions_on_an_accruals_basis_and_requiring_resource_cover,Total capital expenditure & other transactions,Aggregate,Aggregate,Other spending
hra_capital_expenditure,"Total capital expenditure & other transactions, o/w HRA",memo,memo,Other spending
of_which_is_hra_capital_expenditure,"Total capital expenditure & other transactions, o/w HRA",memo,memo,Other spending
total_capital_receipts_accruals,Total capital receipts,,,Receipts
total_receipts,Total capital receipts,,,Receipts
total_receipts_accruals,Total capital receipts,,,Receipts
finrec_amt,Total capital receipts used to finance capital expenditure,Receipts,Aggregate,Financing
use_of_capital_receipts,Total capital receipts used to finance capital expenditure,Receipts,Aggregate,Financing
finfund_amt,Total CERA,CERA,Aggregate,Financing
prurpy_amt,"Total contribution from revenue, MRR, or use of receipts to repay credit liabilities",Non-borrowing contribution,CFR,CFR
fingrn_amt,Total grants used to finance capital expenditure ,Grants,Aggregate,Financing
finothxpfi_amt,Total prudential borrowing (excluding PFI),Borrowing,Aggregate,Financing
finoth_amt,Total prudential borrowing (including PFI),memo,memo,Financing
m10_sales_of_tangible_fixed_assets_total_m7_to_m9,Total receipts from fixed assets,Aggregate,memo,Receipts
m8_total_m5_to_m7,Total receipts from fixed assets,Aggregate,memo,Receipts
m9_sales_of_tangible_fixed_assets_total_m7_to_m9,Total receipts from fixed assets,Aggregate,memo,Receipts
m8_sales_of_tangible_fixed_assets_total_m5_to_m7,Total receipts from tangible fixed assets,Aggregate,memo,Receipts
total_resources_used_to_finance_cap_expenditure,Total resources used to finance capital expenditure,Aggregate,Aggregate,Financing
total_resources_used_to_finance_capital_expenditure,Total resources used to finance capital expenditure,Aggregate,Aggregate,Financing
total_resources_used_to_finance_capital_expenditure_total_19_to_31,Total resources used to finance capital expenditure,Aggregate,Aggregate,Financing
total_resources_used_to_finance_capital_expenditure_total_lines_16_to_28,Total resources used to finance capital expenditure,Aggregate,Aggregate,Financing
fingrandtot_amt,Total resources used to finance capital expenditure & other transactions,Total financing,Aggregate,Financing
fingrandtotpfi_amt,"Total resources used to finance capital expenditure, o/w PFI",memo,memo,Financing
m4_s16_2_b_direction_expenditure_total_m1_to_m3,Total use of capitalisation,Total capitalisation,memo,Other spending
m4_total_m1_to_m3,Total use of capitalisation,Total capitalisation,memo,Other spending
m5_section_16_2_b_total_m1_to_m4,Total use of capitalisation,Total capitalisation,memo,Other spending
m5_section_16_2_b_total_m1_to_m5,Total use of capitalisation,Total capitalisation,memo,Other spending
m6_section_16_2_b_total_m1_to_m5,Total use of capitalisation,Total capitalisation,memo,Other spending
minimum_revenue_provision,Use of MRP,Non-borrowing contributor,CFR,CFR
prurpyrevmrp_amt,Use of MRP,Non-borrowing contributor,CFR,CFR
prurpyrec_amt,Use of receipts to repay credit liabilities,Non-borrowing contributor,CFR,CFR
use_of_receipts,Use of receipts to repay credit liabilities,Non-borrowing contributor,CFR,CFR
